Date,Jdate,InfluenzaDeaths,PneumoniaDeaths
9/17/1918,5373,0,0
9/18/1918,5374,0,0
9/19/1918,5375,0,1
9/20/1918,5376,0,0
9/21/1918,5377,0,2
9/22/1918,5378,0,1
9/23/1918,5379,1,1
9/24/1918,5380,0,1
9/25/1918,5381,1,0
9/26/1918,5382,1,0
9/27/1918,5383,1,2
9/28/1918,5384,0,0
9/29/1918,5385,3,1
9/30/1918,5386,1,2
10/1/1918,5387,4,0
10/2/1918,5388,4,0
10/3/1918,5389,2,1
10/4/1918,5390,7,2
10/5/1918,5391,4,2
10/6/1918,5392,6,4
10/7/1918,5393,14,2
10/8/1918,5394,10,2
10/9/1918,5395,16,6
10/10/1918,5396,15,6
10/11/1918,5397,17,4
10/12/1918,5398,19,3
10/13/1918,5399,18,7
10/14/1918,5400,20,10
10/15/1918,5401,25,4
10/16/1918,5402,14,3
10/17/1918,5403,29,8
10/18/1918,5404,36,5
10/19/1918,5405,24,3
10/20/1918,5406,31,8
10/21/1918,5407,27,6
10/22/1918,5408,23,3
10/23/1918,5409,33,3
10/24/1918,5410,18,7
10/25/1918,5411,21,4
10/26/1918,5412,29,7
10/27/1918,5413,23,3
10/28/1918,5414,17,1
10/29/1918,5415,23,6
10/30/1918,5416,14,2
10/31/1918,5417,17,6
11/1/1918,5418,10,3
11/2/1918,5419,15,4
11/3/1918,5420,11,3
11/4/1918,5421,11,1
11/5/1918,5422,9,4
11/6/1918,5423,9,2
11/7/1918,5424,9,3
11/8/1918,5425,7,2
11/9/1918,5426,6,1
11/10/1918,5427,5,4
11/11/1918,5428,9,3
11/12/1918,5429,8,3
11/13/1918,5430,8,1
11/14/1918,5431,3,1
11/15/1918,5432,4,1
11/16/1918,5433,7,5
11/17/1918,5434,7,4
11/18/1918,5435,11,2
11/19/1918,5436,7,3
11/20/1918,5437,4,0
11/21/1918,5438,4,1
11/22/1918,5439,7,1
11/23/1918,5440,3,1
11/24/1918,5441,4,3
11/25/1918,5442,3,0
11/26/1918,5443,2,1
11/27/1918,5444,1,0
11/28/1918,5445,2,2
11/29/1918,5446,3,1
11/30/1918,5447,3,0
