"day","NewCases"
1,0
2,3
3,5
4,2
5,9
6,4
7,11
8,29
9,42
10,61
11,39
12,71
13,73
14,89
15,69
16,58
17,82
18,60
19,44
20,40
21,30
22,30
23,5
24,5
25,7
26,3
27,3
28,8
29,8
30,2
31,2
32,8
33,4
34,7
35,2
36,3
37,4
38,5
39,2
40,8
41,3
42,1
43,2
44,0
45,2
46,0
47,2
48,1
49,0
50,0
51,3
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,2
73,0
74,0
75,0
76,0
77,2
78,0
79,4
80,1
81,2
82,0
83,1
84,2
85,0
86,3
87,1
88,6
89,3
90,4
91,3
92,5
93,3
94,3
95,6
96,2
97,2
98,2
99,5
100,2
101,5
102,1
103,6
104,11
105,2
106,4
107,17
108,4
109,17
110,4
111,6
112,6
113,11
114,7
115,8
116,4
117,3
118,2
119,3
120,5
121,7
122,8
123,4
124,5
125,1
126,2
127,7
128,5
129,6
130,10
131,3
132,12
133,4
134,6
135,9
136,3
137,8
138,5
139,7
140,9
141,6
142,6
143,2
144,6
145,4
146,6
147,9
148,8
149,5
150,11
